,Logistic Regression,Random Forest
Report,"{'0': {'precision': 0.875, 'recall': 0.9568345323741008, 'f1-score': 0.9140893470790378, 'support': 139.0}, '1': {'precision': 0.875, 'recall': 0.6885245901639344, 'f1-score': 0.7706422018348624, 'support': 61.0}, 'accuracy': 0.875, 'macro avg': {'precision': 0.875, 'recall': 0.8226795612690176, 'f1-score': 0.8423657744569502, 'support': 200.0}, 'weighted avg': {'precision': 0.875, 'recall': 0.875, 'f1-score': 0.8703379677795643, 'support': 200.0}}","{'0': {'precision': 0.9236111111111112, 'recall': 0.9568345323741008, 'f1-score': 0.9399293286219081, 'support': 139.0}, '1': {'precision': 0.8928571428571429, 'recall': 0.819672131147541, 'f1-score': 0.8547008547008547, 'support': 61.0}, 'accuracy': 0.915, 'macro avg': {'precision': 0.908234126984127, 'recall': 0.8882533317608209, 'f1-score': 0.8973150916613815, 'support': 200.0}, 'weighted avg': {'precision': 0.9142311507936509, 'recall': 0.915, 'f1-score': 0.9139346440759869, 'support': 200.0}}"
AUC,0.8871329166175257,0.9745842670126195
